k,m,n,ARL,H
0,100,5,249.891,19.25
0,100,10,250.2691,18.25
0,100,15,255.4161,17.05
0,100,20,259.0504,15.85
0,100,25,244.9637,14.45
0,125,5,245.08,20.05
0,125,10,244.3207,19.2
0,125,15,240.8138,18.25
0,125,20,257.2853,17.25
0,125,25,244.8414,16
0,150,5,258.9506,21.4
0,150,10,257.6053,21
0,150,15,250.5778,19.85
0,150,20,258.6807,18.8
0,150,25,252.7905,17.6
0,175,5,256.5999,22
0,175,10,253.0472,21.75
0,175,15,249.5513,20.75
0,175,20,258.0097,19.75
0,175,25,243.5736,18.35
0,200,5,257.537,22.7
0,200,10,256.9757,22.35
0,200,15,256.5513,21.6
0,200,20,254.5023,20.55
0,200,25,251.7973,19.55
0,100,5,379.3062,22.15
0,100,10,361.7243,20.8
0,100,15,374.3012,19.2
0,100,20,365.7866,17.6
0,100,25,356.9586,16.2
0,125,5,369.111,23.35
0,125,10,369.0318,22.4
0,125,15,374.7463,21.1
0,125,20,363.2045,19.4
0,125,25,374.7924,18.25
0,150,5,376.1572,24.7
0,150,10,371.04,24.05
0,150,15,361.7961,22.5
0,150,20,363.4087,21.2
0,150,25,374.3641,19.85
0,175,5,372.3884,26.05
0,175,10,367.7481,25.05
0,175,15,375.3278,23.9
0,175,20,363.6176,22.5
0,175,25,376.6274,21.45
0,200,5,365.4051,26.4
0,200,10,374.0148,26.05
0,200,15,377.871,24.85
0,200,20,366.2771,23.3
0,200,25,361.7072,22.25
0,100,5,511.8717,25
0,100,10,491.4882,23.1
0,100,15,500.1585,21.5
0,100,20,514.077,19.9
0,100,25,502.9016,18.15
0,125,5,509.8314,26.2
0,125,10,495.3669,25.15
0,125,15,505.8629,23.5
0,125,20,499.7588,21.7
0,125,25,494.3823,20
0,150,5,496.0402,27.55
0,150,10,505.192,26.65
0,150,15,500.3253,25
0,150,20,498.727,23.5
0,150,25,490.9845,21.95
0,175,5,507.6782,28.9
0,175,10,501.2782,28.15
0,175,15,509.1947,26.6
0,175,20,502.0705,25.3
0,175,25,514.0222,23.8
0,200,5,498.6264,30
0,200,10,510.8973,29.55
0,200,15,509.6641,28.2
0,200,20,495.7621,26.35
0,200,25,513.9257,25.05
3,100,5,244.2038,5.7
3,100,10,255.5022,5.3
3,100,15,247.1009,4.95
3,100,20,254.9263,4.8
3,100,25,254.7302,4.7
3,125,5,247.9093,5.936883117
3,125,10,257.5945,5.575890411
3,125,15,248.4407,5.298387097
3,125,20,257.9032,5.19
3,125,25,269.1939,5.11
3,150,5,255.8658,6.15
3,150,10,248.4371,5.75
3,150,15,249.8533,5.45
3,150,20,253.7616,5.3
3,150,25,254.1696,5.2
3,175,5,251.6785,6.25
3,175,10,252.38,5.86
3,175,15,260.2172,5.697103275
3,175,20,260.4725,5.55
3,175,25,253.1063,5.421590909
3,200,5,256.718,6.42
3,200,10,250.2957,5.95
3,200,15,252.7249,5.75
3,200,20,258.3697,5.65
3,200,25,258.5692,5.55
3,100,5,374.6976,6.55
3,100,10,370.648,6.05
3,100,15,371.8289,5.7
3,100,20,371.5959,5.5
3,100,25,370.0137,5.3
3,125,5,378.5324,6.85
3,125,10,375.2869,6.35
3,125,15,374.0836,6
3,125,20,375.038,5.8
3,125,25,358.452,5.65
3,150,5,363.137,7.05
3,150,10,389.3901,6.6
3,150,15,364.9133,6.2
3,150,20,382.6654,6
3,150,25,367.1043,5.87
3,175,5,379.0577,7.25
3,175,10,371.3771,6.7
3,175,15,372.7594,6.4
3,175,20,378.6236,6.25
3,175,25,383.9289,6.15
3,200,5,379.3872,7.35
3,200,10,365.1196,6.8
3,200,15,376.4582,6.6
3,200,20,377.6733,6.4
3,200,25,365.4947,6.25
3,100,5,505.7828,7.2
3,100,10,499.1531,6.55
3,100,15,502.9217,6.25
3,100,20,495.6396,6
3,100,25,502.9217,5.85
3,125,5,490.8618,7.5
3,125,10,483.6357,6.85
3,125,15,504.4595,6.55
3,125,20,478.9942,6.3
3,125,25,517.6851,6.2
3,150,5,499.3493,7.7
3,150,10,491.7321,7.1
3,150,15,488.1169,6.75
3,150,20,459.0589,6.5
3,150,25,487.4147,6.42
3,175,5,490.4529,7.9
3,175,10,485.8016,7.3
3,175,15,512.6619,7.1
3,175,20,502.2499,6.75
3,175,25,491.5877,6.65
3,200,5,502.243,8.1
3,200,10,505.1937,7.5
3,200,15,492.8754,7.2
3,200,20,507.6932,7
3,200,25,490.282,6.8
6,100,5,251.562,2.5
6,100,10,259.9873,2.1
6,100,15,258.067,1.85
6,100,20,263.5043,1.7
6,100,25,260.7503,1.5
6,125,5,244.6008,2.65
6,125,10,260.522,2.3
6,125,15,260.5645,2.1
