k,m,n,ARL,H
0,100,5,260.3267,17.9
0,100,10,256.2989,17.4
0,100,15,244.9661,16.4
0,100,20,242.1065,15.25
0,100,25,243.4608,14.25
0,125,5,240.7678,18.85
0,125,10,244.0942,18.38
0,125,15,255.1297,18.08
0,125,20,246.8937,17
0,125,25,245.0602,15.85
0,150,5,253.7327,20
0,150,10,242.6637,19.5
0,150,15,252.8906,19.18
0,150,20,244.5329,18.03
0,150,25,250.3329,17
0,175,5,248.6026,20.89
0,175,10,247.1724,20.37
0,175,15,247.6837,20.04
0,175,20,240.2149,18.84
0,175,25,238.7459,17.85
0,200,5,253.5105,21.72
0,200,10,247.9697,21.279
0,200,15,256.3114,20.85
0,200,20,241.398,19.686
0,200,25,240.448,18.85
0,100,5,358.3334,20.6
0,100,10,370.0459,20.02
0,100,15,373.6087,18.68
0,100,20,362.2725,17.3
0,100,25,367.5305,16.052
0,125,5,363.9354,21.95
0,125,10,367.0543,21.4
0,125,15,380.0627,21.05
0,125,20,360.0055,19.05
0,125,25,352.354,17.85
0,150,5,375.9576,23.388
0,150,10,376.7825,22.88
0,150,15,390.444,22.3
0,150,20,360.2427,20.5
0,150,25,354.878,19.4
0,175,5,364.1614,24.5
0,175,10,361.3755,23.67
0,175,15,376.6556,23.29
0,175,20,348.3061,21.65
0,175,25,370.4334,20.85
0,200,5,375.7987,25.6
0,200,10,367.1931,24.487
0,200,15,372.0696,24.25
0,200,20,363.2648,23
0,200,25,384.826,22.35
0,100,5,507.2222,23.1
0,100,10,515.9372,22.5
0,100,15,506.9681,21
0,100,20,508.5932,19.4
0,100,25,506.127,18
0,125,5,492.5302,24.55
0,125,10,489.1336,23.912
0,125,15,495.8865,22.318
0,125,20,494.4799,21.15
0,125,25,494.5898,19.75
0,150,5,503.5615,26
0,150,10,498.3794,25.325
0,150,15,489.7749,24.3
0,150,20,491.3835,22.75
0,150,25,496.9938,21.6
0,175,5,513.089,27.5
0,175,10,508.427,26.786
0,175,15,499.8819,25.49
0,175,20,490.3427,24.15
0,175,25,490.6894,22.95
0,200,5,514.9908,28.85
0,200,10,516.7627,28.15
0,200,15,502.9009,26.788
0,200,20,489.7539,25.47
0,200,25,363.2648,24.3
3,100,5,256.8117,6.35
3,100,10,253.1286,5
3,100,15,239.351,4.65
3,100,20,239.2444,4.5
3,100,25,248.7578,4.45
3,125,5,240.5997,6.571
3,125,10,243.2303,5.325
3,125,15,255.7778,5
3,125,20,246.9937,4.85
3,125,25,250.4629,4.75
3,150,5,246.9939,6.9
3,150,10,239.7007,5.65
3,150,15,250.0638,5.25
3,150,20,241.8911,5
3,150,25,240.5832,4.95
3,175,5,239.7007,7
3,175,10,247.2194,5.85
3,175,15,246.539,5.4
3,175,20,244.619,5.25
3,175,25,240.8001,5.1
3,200,5,243.2187,7.2
3,200,10,241.9483,6
3,200,15,252.2837,5.6
3,200,20,246.5338,5.4
3,200,25,241.4986,5.3
3,100,5,358.8254,7.2
3,100,10,368.958,5.7
3,100,15,357.9986,5.35
3,100,20,355.5656,5.125
3,100,25,368.1414,5.1
3,125,5,370.1871,7.652
3,125,10,366.8436,6.2
3,125,15,367.2154,5.7
3,125,20,362.0418,5.5
3,125,25,371.3688,5.4
3,150,5,368.2829,8
3,150,10,381.6739,6.65
3,150,15,387.7697,6.1
3,150,20,367.794,5.825
3,150,25,375.1372,5.694
3,175,5,368.9829,8.217
3,175,10,374.3007,6.8
3,175,15,373.5636,6.253
3,175,20,368.0003,6.022
3,175,25,366.3536,5.905
3,200,5,366.859,8.45
3,200,10,380.2266,7.1
3,200,15,363.3724,6.45
3,200,20,371.973,6.173
3,200,25,377.166,6.086
3,100,5,500.0576,8.072
3,100,10,502.4877,6.509
3,100,15,507.1727,5.95
3,100,20,488.0178,5.7
3,100,25,511.9172,5.6
3,125,5,512.2507,8.579
3,125,10,496.3277,6.917
3,125,15,490.1505,6.3
3,125,20,506.1196,6.118
3,125,25,501.2747,5.9
3,150,5,507.8823,8.85
3,150,10,501.4495,7.326
3,150,15,509.4412,6.7
3,150,20,486.8696,6.35
3,150,25,509.4792,6.2
3,175,5,495.4189,9.1
3,175,10,508.7323,7.65
3,175,15,498.0037,6.9
3,175,20,505.7991,6.635
3,175,25,515.1307,6.5
3,200,5,486.5278,9.25
3,200,10,508.4876,7.95
3,200,15,498.5466,7.15
3,200,20,488.9534,6.75
3,200,25,498.5161,6.65
6,100,5,250.0668,3.1
6,100,10,250.604,1.79
6,100,15,247.4813,1.475
6,100,20,245.211,1.34
6,100,25,250.869,1.295
