"","k","m","n","ARL","H"
"159",6,125,20,251.5539,1.9
"207",6,125,10,487.1374,3.6
"179",6,100,20,374.5269,2.25
"14",0,150,20,258.6807,18.8
"195",6,175,25,376.3052,2.8
"170",6,175,25,248.2326,2.1
"50",0,200,25,361.7072,22.25
"118",3,175,15,372.7594,6.4
"43",0,175,15,375.3278,23.9
"222",6,200,10,507.0294,4.15
"218",6,175,15,502.7506,3.7
"153",6,100,15,258.067,1.85
"90",3,150,25,254.1696,5.2
"91",3,175,5,251.6785,6.25
"197",6,200,10,378.0173,3.5
"212",6,150,10,508.2884,3.85
"185",6,125,25,370.7861,2.4
"92",3,175,10,252.38,5.86
"137",3,150,10,491.7321,7.1
"99",3,200,20,258.3697,5.65
"72",0,200,10,510.8973,29.55
"26",0,100,5,379.3062,22.15
"7",0,125,10,244.3207,19.2
"220",6,175,25,492.9862,3.35
"224",6,200,20,508.3409,3.65
"164",6,150,20,249.7626,2.1
"78",3,100,15,247.1009,4.95
"81",3,125,5,247.9093,5.936883117
"217",6,175,10,516.8372,4.05
"103",3,100,15,371.8289,5.7
"117",3,175,10,371.3771,6.7
"76",3,100,5,244.2038,5.7
"143",3,175,15,512.6619,7.1
"32",0,125,10,369.0318,22.4
"109",3,125,20,375.038,5.8
"203",6,100,15,504.3468,3
"201",6,100,5,497.5963,3.9
"169",6,175,20,252.6144,2.25
"74",0,200,20,495.7621,26.35
"23",0,200,15,256.5513,21.6
"155",6,100,25,260.7503,1.5
"53",0,100,15,500.1585,21.5
"135",3,125,25,517.6851,6.2
"184",6,125,20,369.264,2.55
"209",6,125,20,502.2547,3.1
"166",6,175,5,249.0489,2.95
"34",0,125,20,363.2045,19.4
"69",0,175,20,502.0705,25.3
"205",6,100,25,508.2606,2.55
"194",6,175,20,372.7144,2.95
"63",0,150,15,500.3253,25
"141",3,175,5,490.4529,7.9
"97",3,200,10,250.2957,5.95
"210",6,125,25,503.1415,2.95
"214",6,150,20,490.2209,3.25
"38",0,150,15,361.7961,22.5
"21",0,200,5,257.537,22.7
"41",0,175,5,372.3884,26.05
"213",6,150,15,512.0881,3.55
"60",0,125,25,494.3823,20
"16",0,175,5,256.5999,22
"116",3,175,5,379.0577,7.25
"94",3,175,20,260.4725,5.55
"6",0,125,5,245.08,20.05
"86",3,150,5,255.8658,6.15
"161",6,150,5,243.9718,2.8
"39",0,150,20,363.4087,21.2
"215",6,150,25,504.5272,3.15
"219",6,175,20,480.7596,3.45
"223",6,200,15,489.0368,3.8
