"","k","m","n","ARL","H"
"159",6,125,20,252.4798,1.655
"207",6,125,10,508.845,3.651
"179",6,100,20,362.7248,1.95
"14",0,150,20,244.5329,18.03
"195",6,175,25,354.3163,2.55
"170",6,175,25,242.5096,1.88
"50",0,200,25,384.826,22.35
"118",3,175,15,373.5636,6.253
"43",0,175,15,376.6556,23.29
"222",6,200,10,517.4189,4.583
"218",6,175,15,510.3222,3.585
"153",6,100,15,247.4813,1.475
"90",3,150,25,240.5832,4.95
"91",3,175,5,239.7007,7
"197",6,200,10,366.2283,3.742
"212",6,150,10,488.7935,3.989
"185",6,125,25,365.3041,2.178
"92",3,175,10,247.2194,5.85
"137",3,150,10,501.4495,7.326
"99",3,200,20,246.5338,5.4
"72",0,200,10,516.7627,28.15
"26",0,100,5,358.3334,20.6
"7",0,125,10,244.0942,18.38
"220",6,175,25,485.115,3.05
"224",6,200,20,497.3538,3.443
"164",6,150,20,244.1757,1.79
"78",3,100,15,239.351,4.65
"81",3,125,5,240.5997,6.571
"217",6,175,10,486.9231,4.298
"103",3,100,15,357.9986,5.35
"117",3,175,10,374.3007,6.8
"76",3,100,5,256.8117,6.35
"143",3,175,15,498.0037,6.9
"32",0,125,10,367.0543,21.4
"109",3,125,20,362.0418,5.5
"203",6,100,15,515.4483,2.733
"201",6,100,5,503.9375,4.848
"169",6,175,20,246.7073,2.015
"74",0,200,20,489.7539,25.47
"23",0,200,15,256.3114,20.85
"155",6,100,25,250.869,1.295
"53",0,100,15,506.9681,21
"135",3,125,25,501.2747,5.9
"184",6,125,20,361.3382,2.27
"209",6,125,20,485.6843,2.75
"166",6,175,5,249.7541,3.7
"34",0,125,20,360.0055,19.05
"69",0,175,20,490.3427,24.15
"205",6,100,25,509.75,2.35
"194",6,175,20,364.9714,2.75
"63",0,150,15,489.7749,24.3
"141",3,175,5,495.4189,9.1
"97",3,200,10,241.9483,6
"210",6,125,25,499.5162,2.685
"214",6,150,20,512.9568,3.063
"38",0,150,15,390.444,22.3
"21",0,200,5,253.5105,21.72
"41",0,175,5,364.1614,24.5
"213",6,150,15,508.9208,3.395
"60",0,125,25,494.5898,19.75
"16",0,175,5,248.6026,20.89
"116",3,175,5,368.9829,8.217
"94",3,175,20,244.619,5.25
"6",0,125,5,240.7678,18.85
"86",3,150,5,246.9939,6.9
"161",6,150,5,242.8186,3.6
"39",0,150,20,360.2427,20.5
"215",6,150,25,509.3379,2.92
"219",6,175,20,511.0536,3.333
"223",6,200,15,515.3807,3.823
"4",0,100,20,242.1065,15.25
"13",0,150,15,252.8906,19.18
"178",6,100,15,363.1419,2.1
"127",3,100,10,502.4877,6.509
"52",0,100,10,515.9372,22.5
"22",0,200,10,247.9697,21.279
"89",3,150,20,241.8911,5
"25",0,200,25,240.448,18.85
"35",0,125,25,352.354,17.85
"112",3,150,10,381.6739,6.65
"30",0,100,25,367.5305,16.052
"140",3,150,25,509.4792,6.2
"121",3,200,5,366.859,8.45
"110",3,125,25,371.3688,5.4
"64",0,150,20,491.3835,22.75
"67",0,175,10,508.427,26.786
"122",3,200,10,380.2266,7.1
"79",3,100,20,239.2444,4.5
"85",3,125,25,250.4629,4.75
"136",3,150,5,507.8823,8.85
"51",0,100,5,507.2222,23.1
"187",6,150,10,377.0422,3.328
"106",3,125,5,370.1871,7.652
"98",3,200,15,252.2837,5.6
"134",3,125,20,506.1196,6.118
"152",6,100,10,250.604,1.79
"17",0,175,10,247.1724,20.37
"62",0,150,10,498.3794,25.325
"46",0,200,5,375.7987,25.6
"54",0,100,20,508.5932,19.4
"147",3,200,10,508.4876,7.95
"104",3,100,20,355.5656,5.125
"142",3,175,10,508.7323,7.65
"115",3,150,25,375.1372,5.694
"163",6,150,15,246.0176,2.015
"138",3,150,15,509.4412,6.7
"24",0,200,20,241.398,19.686
"113",3,150,15,387.7697,6.1
"87",3,150,10,239.7007,5.65
"107",3,125,10,366.8436,6.2
"190",6,150,25,358.9073,2.35
"93",3,175,15,246.539,5.4
"120",3,175,25,366.3536,5.905
"186",6,150,5,365.2951,4.7
"204",6,100,20,505.5197,2.45
"102",3,100,10,368.958,5.7
"192",6,175,10,360.2512,3.466
"139",3,150,20,486.8696,6.35
"27",0,100,10,370.0459,20.02
"42",0,175,10,361.3755,23.67
"5",0,100,25,243.4608,14.25
"70",0,175,25,490.6894,22.95
"165",6,150,25,242.103,1.745
"119",3,175,20,368.0003,6.022
"191",6,175,5,363.0988,4.85
"188",6,150,15,363.0755,2.75
"55",0,100,25,506.127,18
"75",0,200,25,363.2648,24.3
"36",0,150,5,375.9576,23.388
"83",3,125,15,255.7778,5
"149",3,200,20,488.9534,6.75
"225",6,200,25,502.5139,3.348
"126",3,100,5,500.0576,8.072
"167",6,175,10,243.9716,2.6
"9",0,125,20,246.8937,17
"71",0,200,5,514.9908,28.85
"48",0,200,15,372.0696,24.25
"77",3,100,10,253.1286,5
"96",3,200,5,243.2187,7.2
"56",0,125,5,492.5302,24.55
"193",6,175,15,361.4986,2.963
"68",0,175,15,499.8819,25.49
"1",0,100,5,260.3267,17.9
"40",0,150,25,354.878,19.4
"145",3,175,25,515.1307,6.5
"196",6,200,5,356.0445,4.984
"114",3,150,20,367.794,5.825
"132",3,125,10,496.3277,6.917
"95",3,175,25,240.8001,5.1
"20",0,175,25,238.7459,17.85
"144",3,175,20,505.7991,6.635
"173",6,200,15,252.1524,2.33
"151",6,100,5,250.0668,3.1
"150",3,200,25,498.5161,6.65
"49",0,200,20,363.2648,23
"133",3,125,15,490.1505,6.3
"59",0,125,20,494.4799,21.15
"11",0,150,5,253.7327,20
"206",6,125,5,493.0992,5.23
"8",0,125,15,255.1297,18.08
"130",3,100,25,511.9172,5.6
"100",3,200,25,241.4986,5.3
"45",0,175,25,370.4334,20.85
"2",0,100,10,256.2989,17.4
"211",6,150,5,501.6698,5.5
"154",6,100,20,245.211,1.34
"65",0,150,25,496.9938,21.6
"162",6,150,10,245.982,2.375
"57",0,125,10,489.1336,23.912
"66",0,175,5,513.089,27.5
"44",0,175,20,348.3061,21.65
"101",3,100,5,358.8254,7.2
"131",3,125,5,512.2507,8.579
"175",6,200,25,251.9974,2.06
"216",6,175,5,493.6051,5.675
"80",3,100,25,248.7578,4.45
"146",3,200,5,486.5278,9.25
"33",0,125,15,380.0627,21.05
"82",3,125,10,243.2303,5.325
"47",0,200,10,367.1931,24.487
