Sample Number,1,2,3,4,5,Phase
1,1.3235,1.4128,1.6744,1.4573,1.6914,1
2,1.4314,1.3592,1.6075,1.4666,1.6109,1
3,1.4284,1.4871,1.4932,1.4324,1.5674,1
4,1.5028,1.6352,1.3841,1.2831,1.5507,1
5,1.5604,1.2735,1.5265,1.4363,1.6441,1
6,1.5955,1.5451,1.3574,1.3281,1.4198,1
7,1.6274,1.5064,1.8366,1.4177,1.5144,1
8,1.419,1.4303,1.6637,1.6067,1.5519,1
9,1.3884,1.7277,1.5355,1.5176,1.3688,1
10,1.4039,1.6697,1.5089,1.4627,1.522,1
11,1.4158,1.7667,1.4278,1.5928,1.4181,1
12,1.5821,1.3355,1.5777,1.3908,1.7559,1
13,1.2856,1.4106,1.4447,1.6398,1.1928,1
14,1.4951,1.4036,1.5893,1.6458,1.4969,1
15,1.3589,1.2863,1.5996,1.2497,1.5471,1
16,1.5747,1.5301,1.5171,1.1839,1.8662,1
17,1.368,1.7269,1.3957,1.5014,1.4449,1
18,1.4163,1.3864,1.3057,1.621,1.5573,1
19,1.5796,1.4185,1.6541,1.5116,1.7247,1
20,1.7106,1.4412,1.2361,1.382,1.7601,1
21,1.4371,1.5051,1.3485,1.567,1.488,1
22,1.4738,1.5936,1.6583,1.4973,1.472,1
23,1.5917,1.4333,1.5551,1.5295,1.6866,1
24,1.6399,1.5243,1.5705,1.5563,1.553,1
25,1.5797,1.3663,1.624,1.3732,1.6887,1
26,1.4483,1.5458,1.4538,1.4303,1.6206,2
27,1.5435,1.6899,1.583,1.3358,1.4187,2
28,1.5175,1.3446,1.4723,1.6657,1.6661,2
29,1.5454,1.0931,1.4072,1.5039,1.5264,2
30,1.4418,1.5059,1.5124,1.462,1.6263,2
31,1.4301,1.2725,1.5945,1.5397,1.5252,2
32,1.4981,1.4506,1.6174,1.5837,1.4962,2
33,1.3009,1.506,1.6231,1.5831,1.6454,2
34,1.4132,1.4603,1.5808,1.7111,1.7313,2
35,1.3817,1.3135,1.4953,1.4894,1.4596,2
36,1.5765,1.7014,1.4026,1.2773,1.4541,2
37,1.4936,1.4373,1.5139,1.4808,1.5293,2
38,1.5729,1.6738,1.5048,1.5651,1.7473,2
39,1.8089,1.5513,1.825,1.4389,1.6558,2
40,1.6236,1.5393,1.6738,1.8698,1.5036,2
41,1.412,1.7931,1.7345,1.6391,1.7791,2
42,1.7372,1.5663,1.491,1.7809,1.5504,2
43,1.5971,1.7394,1.6832,1.6677,1.7974,2
44,1.4295,1.6536,1.9134,1.7272,1.437,2
45,1.6217,1.822,1.7915,1.6744,1.9404,2
