"","k","m","n","ARL","H"
"159",0.2,125,20,236.3879,2.868
"207",0.2,125,10,480.9211,3.48
"179",0.2,100,20,371.2498,3
"14",0.05,150,20,259.1009,2.060849339
"195",0.2,175,25,358.526,3.225
"170",0.2,175,25,251.5009,3
"50",0.05,200,25,381.398,2.310649259
"118",0.1,175,15,382.7975,2.839822662
"43",0.05,175,15,367.038,2.341874249
"222",0.2,200,10,519.6014,3.828
"218",0.2,175,15,477.6842,3.51
"153",0.2,100,15,262.6207,2.88
"90",0.1,150,25,249.3579,2.440983408
"91",0.1,175,5,260.2125,2.872514404
"197",0.2,200,10,384.9566,3.5595
"212",0.2,150,10,497.5991,3.6
"185",0.2,125,25,354.8092,3.0375
"92",0.1,175,10,250.0025,2.643672209
"137",0.1,150,10,521.5241,3.035973114
"99",0.1,200,20,264.7272,2.637133861
"72",0.05,200,10,514.2325,2.622899159
"26",0.05,100,5,360.272,2.279424269
"7",0.05,125,10,247.6762,2.060849339
"220",0.2,175,25,491.68,3.42
"224",0.2,200,20,498.4864,3.525
"164",0.2,150,20,249.4144,2.9625
"78",0.1,100,15,249.8827,2.375599924
"81",0.1,125,5,252.6018,2.72431184
"217",0.2,175,10,509.7173,3.723525
"103",0.1,100,15,369.581,2.549955882
"117",0.1,175,10,373.0302,2.905206146
"76",0.1,100,5,246.5989,2.582647624
"143",0.1,175,15,491.4197,2.97058963
"32",0.05,125,10,366.7943,2.263811774
"109",0.1,125,20,367.8724,2.615339366
"203",0.2,100,15,518.2872,3.2562
"201",0.2,100,5,512.804,3.7635
"169",0.2,175,20,232.7492,3.0015
"74",0.05,200,20,493.5247,2.497999199
"23",0.05,200,15,255.4306,2.201361794
"155",0.2,100,25,256.4736,2.7114
"53",0.05,100,15,502.9611,2.248199279
"135",0.1,125,25,514.8424,2.72431184
"184",0.2,125,20,375.3852,3.12
"209",0.2,125,20,528.6816,3.33
"166",0.2,175,5,261.5038,3.528
"34",0.05,125,20,362.4751,2.123299319
"69",0.05,175,20,490.3041,2.435549219
"205",0.2,100,25,492.0468,3.075
"194",0.2,175,20,381.2076,3.3
"63",0.05,150,15,525.3777,2.435549219
"141",0.1,175,5,496.5269,3.312763197
"97",0.1,200,10,247.397,2.6829023
"210",0.2,125,25,488.8548,3.225
"214",0.2,150,20,481.0771,3.375
"38",0.05,150,15,360.0428,2.279424269
"21",0.05,200,5,250.4474,2.310649259
"41",0.05,175,5,363.4408,2.513611694
"213",0.2,150,15,514.0755,3.48
"60",0.05,125,25,516.4899,2.216974289
"16",0.05,175,5,253.9803,2.295036764
