k,m,n,ARL,H
0.05,100,5,239.3236,2.078959834
0.05,100,10,257.8872,2.045236844
0.05,100,15,260.3163,1.982786864
0.05,100,20,255.0971,1.90472439
0.05,100,25,255.51,1.826661915
0.05,125,5,254.2295,2.172634804
0.05,125,10,250.1463,2.138911814
0.05,125,15,254.2618,2.076461834
0.05,125,20,248.1943,1.998399359
0.05,125,25,248.0216,1.920336885
0.05,150,5,255.8457,2.232586784
0.05,150,10,259.2855,2.201361794
0.05,150,15,240.5336,2.123299319
0.05,150,20,242.086,2.060849339
0.05,150,25,238.1718,1.998399359
0.05,175,5,254.3105,2.292538765
0.05,175,10,260.5741,2.263811774
0.05,175,15,237.2117,2.170136804
0.05,175,20,246.1019,2.123299319
0.05,175,25,243.2818,2.076461834
0.05,200,5,262.9185,2.326261754
0.05,200,10,259.9454,2.288791766
0.05,200,15,251.0769,2.230088785
0.05,200,20,254.1935,2.1832513
0.05,200,25,249.5901,2.136413815
0.05,100,5,362.4968,2.297534764
0.05,100,10,384.7103,2.261346644
0.05,100,15,377.2907,2.154524309
0.05,100,20,371.4042,2.060849339
0.05,100,25,382.2885,1.982786864
0.05,125,5,370.422,2.391209734
0.05,125,10,371.1833,2.341874249
0.05,125,15,381.4652,2.295036764
0.05,125,20,345.0954,2.176381802
0.05,125,25,367.9532,2.107686824
0.05,150,5,386.0794,2.451161714
0.05,150,10,386.453,2.404324229
0.05,150,15,372.5177,2.326261754
0.05,150,20,384.1993,2.279424269
0.05,150,25,359.8818,2.185749299
0.05,175,5,377.417,2.511113695
0.05,175,10,392.0384,2.466774209
0.05,175,15,357.3436,2.357486744
0.05,175,20,372.8639,2.326261754
0.05,175,25,366.3932,2.263811774
0.05,200,5,363.7815,2.507366696
0.05,200,10,374.1655,2.466774209
0.05,200,15,362.7105,2.357486744
0.05,200,20,370.6546,2.326261754
0.05,200,25,364.1901,2.263811774
0.05,100,5,510.3768,2.479264205
0.05,100,10,511.9097,2.404324229
0.05,100,15,501.6569,2.295036764
0.05,100,20,494.7576,2.185749299
0.05,100,25,505.9802,2.107686824
0.05,125,5,494.1538,2.547959183
0.05,125,10,495.1521,2.482386704
0.05,125,15,521.1911,2.435549219
0.05,125,20,488.6901,2.310649259
0.05,125,25,525.5753,2.263811774
0.05,150,5,503.506,2.616654161
0.05,150,10,491.4012,2.544836684
0.05,150,15,505.9248,2.482386704
0.05,150,20,488.2818,2.419936724
0.05,150,25,532.5117,2.357486744
0.05,175,5,521.2315,2.685349139
0.05,175,10,512.7679,2.622899159
0.05,175,15,474.6216,2.529224189
0.05,175,20,497.2409,2.497999199
0.05,175,25,528.9987,2.451161714
0.05,200,5,502.2992,2.691594137
0.05,200,10,515.6049,2.654124149
0.05,200,15,494.1037,2.597919167
0.05,200,20,507.1243,2.566694177
0.05,200,25,505.9797,2.482386704
0.1,100,5,265.0385,2.615339366
0.1,100,10,244.2448,2.508546342
0.1,100,15,236.7966,2.386497172
0.1,100,20,265.3717,2.364702677
0.1,100,25,262.0435,2.288421945
0.1,125,5,265.6559,2.687261199
0.1,125,10,250.6829,2.580468175
0.1,125,15,238.0877,2.495469645
0.1,125,20,265.2616,2.480213499
0.1,125,25,264.8207,2.419188914
0.1,150,5,253.4743,2.717773491
0.1,150,10,252.1123,2.665466704
0.1,150,15,251.3544,2.604442119
0.1,150,20,266.6294,2.560853129
0.1,150,25,262.1204,2.506366893
0.1,175,5,256.7703,2.767900829
0.1,175,10,250.8633,2.693799547
0.1,175,15,260.8286,2.675274227
0.1,175,20,254.2429,2.631685237
0.1,175,25,265.5382,2.577199
0.1,200,5,268.255,2.822387066
0.1,200,10,252.9074,2.770080279
0.1,200,15,258.6596,2.698158446
0.1,200,20,257.6375,2.658928356
0.1,200,25,253.5108,2.615339366
0.1,100,5,375.5191,2.822387066
0.1,100,10,369.2108,2.713414592
0.1,100,15,373.0571,2.637133861
0.1,100,20,377.5366,2.560853129
0.1,100,25,369.9859,2.451880656
0.1,125,5,368.338,2.894308899
0.1,125,10,348.6676,2.785336425
0.1,125,15,384.857,2.746106334
0.1,125,20,383.7412,2.676363951
0.1,125,25,384.4209,2.610980467
0.1,150,5,367.4342,2.935718438
0.1,150,10,356.6494,2.859437707
0.1,150,15,375.0985,2.822387066
0.1,150,20,358.9535,2.735209087
0.1,150,25,359.3679,2.669825603
0.1,175,5,370.8439,3.006550546
0.1,175,10,345.718,2.88777055
0.1,175,15,389.9159,2.893219174
0.1,175,20,367.2844,2.806041195
0.1,175,25,365.6473,2.740657711
0.1,200,5,393.3714,3.055588159
0.1,200,10,374.5997,2.964051282
0.1,200,15,382.8961,2.916103393
0.1,200,20,377.9584,2.876873303
0.1,200,25,375.192,2.811489819
0.1,100,5,505.7537,2.995653299
0.1,100,10,508.339,2.909565045
0.1,100,15,499.8809,2.789695324
0.1,100,20,508.1648,2.713414592
0.1,100,25,511.8863,2.604442119
0.1,125,5,509.3326,3.067575132
0.1,125,10,500.293,2.981486877
0.1,125,15,492.3583,2.898667797
0.1,125,20,510.0381,2.828925414
0.1,125,25,528.2346,2.76354193
0.1,150,5,498.7957,3.138407239
0.1,150,10,519.0766,3.088279901
0.1,150,15,505.955,3.001101923
0.1,150,20,520.7278,2.935718438
0.1,150,25,508.5905,2.870334954
0.1,175,5,518.7789,3.209239347
0.1,175,10,517.5909,3.116612745
0.1,175,15,523.9618,3.07193403
0.1,175,20,511.5777,3.006550546
