,Sample,WRS_Statistic,AB_Statistic,WRSAB_Max,VW_Statistic,Mood_Statistic,VWM_Max,Lepage,Cucconi,SLVM,Wilcoxon_p,VanWaerden_p,AnsariBradley_p,Mood_p
1,1,0.079608417,1.576762613,1.576762613,0.002650838,1.501135973,1.501135973,2.492517838,1.129873355,2.253416237,0.938981413,0.9979,0.1148,0.1332
2,2,0.061237244,1.5707591,1.5707591,0.207586814,1.478239759,1.478239759,2.471034151,1.094471392,2.228285069,0.953606759,0.8355,0.1162,0.1390
3,3,0.57563009,1.191096948,1.191096948,0.572100458,1.036576896,1.036576896,1.750061939,0.70292083,1.401790594,0.566919396,0.5672,0.2335,0.2995
4,4,0.085732141,0.921659292,0.921659292,0.106673767,0.832650218,0.832650218,0.85680585,0.350328193,0.704685678,0.934110614,0.9151,0.3566,0.4045
5,5,2.789356445,1.674860013,2.789356445,2.811622004,1.671958476,2.811622004,10.58566544,5.28797726,10.70066344,0.0053294,0.0049,0.0939,0.0943
6,6,1.956529932,0.00924541,1.956529932,1.732492194,0.064557404,1.732492194,3.828094853,1.916088517,3.005696861,0.050753864,0.0832,0.9926,0.9486
7,7,1.145136455,1.497276103,1.497276103,0.832651302,1.989846914,1.989846914,3.553173228,2.635414121,4.652798933,0.253401973,0.4050,0.1343,0.0465
8,8,0.532764019,1.338062942,1.338062942,0.34008621,1.272592377,1.272592377,2.074249938,0.951664429,1.735149989,0.596302435,0.7338,0.1808,0.2029
9,9,0.566444503,0.744075382,0.744075382,0.554009069,0.557500347,0.557500347,0.874507549,0.315833006,0.617732685,0.573157075,0.5796,0.4567,0.5768
10,10,0.257196423,0.652221635,0.652221635,0.311931519,0.461536219,0.461536219,0.491543061,0.139582841,0.310316954,0.799382439,0.7551,0.5142,0.6439
11,11,0.92774424,0.003001756,0.92774424,0.925672877,0.083578159,0.925672877,0.860718386,0.433847342,0.863855584,0.355109385,0.3546,0.9976,0.9335
12,12,1.142074593,1.368680858,1.368680858,1.012932578,1.587411452,1.587411452,3.177621666,1.912104746,3.545907526,0.254676957,0.3111,0.1710,0.1122
13,13,1.30741515,1.466658187,1.466658187,1.656130005,1.875885153,1.875885153,3.860420614,2.614139741,6.2617117,0.192093288,0.0977,0.1361,0.0605
14,14,1.778941926,0.560367889,1.778941926,2.013184006,0.982374719,2.013184006,3.478646546,2.064847232,5.017969932,0.075739816,0.0441,0.5752,0.3256
15,15,0.349052288,0.00912534,0.349052288,0.26056515,0.378353357,0.378353357,0.121920772,0.132494381,0.21104546,0.729338101,0.7944,0.9927,0.7052
16,16,1.549302262,2.08514008,2.08514008,1.513748471,2.211073643,2.211073643,6.748146655,3.644592077,7.180281087,0.12203004,0.1301,0.0350,0.0269
17,17,1.344157496,2.128005162,2.128005162,1.375580256,2.933932094,2.933932094,6.335165345,5.207358454,10.50017857,0.179870105,0.1690,0.0333,0.0033
18,18,2.816913204,1.729972261,2.816913204,3.222461626,2.038073132,3.222461626,10.92780402,6.044371046,14.53800102,0.004893279,0.0013,0.0795,0.0414
19,19,0.04286607,1.019636621,1.019636621,0.163990897,0.870133662,0.870133662,1.041496339,0.379485045,0.784025605,0.968247809,0.8698,0.3078,0.3838
20,20,2.385190637,1.172726199,2.385190637,3.01599086,1.630010502,3.01599086,7.064421112,4.173034307,11.75313511,0.017208042,0.0026,0.2315,0.1029
21,21,2.400499948,1.595253433,2.400499948,2.486556311,1.726765224,2.486556311,8.307233514,4.372059069,9.164680425,0.016505304,0.0129,0.1055,0.0840
22,22,0.033680484,0.254188734,0.254188734,0.205250822,0.433749175,0.433749175,0.065746287,0.094636361,0.230266247,0.975572609,0.8373,0.7993,0.6642
23,23,2.902645345,1.901432588,2.902645345,2.81330898,1.815218711,2.81330898,12.04079588,5.860184484,11.20972639,0.003735081,0.0049,0.0542,0.0693
24,24,1.751385166,1.852443923,1.852443923,1.807831832,1.790849821,1.807831832,6.498898487,3.137246541,6.475399016,0.080394703,0.0706,0.0607,0.0731
25,25,2.412747397,3.077160543,3.077160543,3.074868862,3.606285558,3.606285558,15.290267,9.413322762,22.46011404,0.015961716,0.0021,0.0019,0.0003
