,Sample,WRS_Statistic,AB_Statistic,WRSAB_Max,VW_Statistic,Mood_Statistic,VWM_Max,Lepage,Cucconi,SLVM,Wilcoxon_p,VanWaerden_p,AnsariBradley_p,Mood_p
1,1,0.707290163,0.321428078,0.707290163,1.107753259,0.060511424,1.107753259,0.603575384,0.251960504,1.230778916,0.48127006,0.267953463,0.747840346,0.952018089
2,2,0.584815676,0.566371402,0.584815676,1.012413471,0.185146201,1.012413471,0.66278594,0.188144245,1.059260153,0.560715144,0.311324648,0.571073066,0.853123795
3,3,0.134721936,0.554244306,0.554244306,0.339313888,0.818000981,0.818000981,0.32533675,0.343637803,0.78425952,0.895248494,0.734355711,0.579343577,0.412944525
4,4,0.468464913,1.760590176,1.760590176,1.097636574,2.113993383,2.113993383,3.319137144,2.344213699,5.673774072,0.641627776,0.272338516,0.078253842,0.034377643
5,5,1.589106471,1.858567506,1.858567506,2.086181791,2.263927159,2.263927159,5.979532549,3.825312778,9.477520646,0.112712918,0.036957013,0.063040768,0.023473014
6,6,1.126765282,2.256600407,2.256600407,1.733249342,2.492152967,2.492152967,6.361845398,3.740213206,9.214979694,0.261116518,0.083041505,0.024006607,0.012622567
7,7,1.338033772,1.834073173,1.834073173,2.00456566,1.925785569,2.00456566,5.15415878,2.749492217,7.726933543,0.181865539,0.045002489,0.066593294,0.053936893
8,8,1.013476381,1.184973365,1.184973365,1.478925412,1.00962695,1.478925412,2.43129625,1.023240477,3.206566953,0.312273971,0.139151017,0.235939807,0.312152909
9,9,1.13901273,1.436040272,1.436040272,1.746460035,1.420526416,1.746460035,3.359561663,1.65762265,5.068017954,0.255954847,0.08072585,0.150914289,0.155064265
10,10,1.886107102,1.607500599,1.886107102,2.334934839,1.579947317,2.334934839,6.141458175,3.026816762,7.948154226,0.059682603,0.019545168,0.107880339,0.113821722
11,11,1.641158128,2.097387247,2.097387247,1.995048594,2.257067596,2.257067596,7.092433263,3.893877066,9.074573024,0.101386036,0.046033986,0.035925481,0.023894772
12,12,0.936929827,1.913679754,1.913679754,1.444782041,2.096623574,2.096623574,4.5400077,2.636833955,6.483225556,0.35035091,0.148510382,0.055618241,0.035902872
13,13,0.826702788,1.693230762,1.693230762,1.200475483,1.731648303,1.731648303,3.550467914,1.841021672,4.439747229,0.410123116,0.229941265,0.090355128,0.083128168
14,14,0.943053551,1.92592692,1.92592692,1.325747262,2.009100197,2.009100197,4.598544501,2.462916801,5.794089403,0.347200711,0.184911679,0.054071381,0.044383962
15,15,1.472755708,0.866547044,1.472755708,1.904474724,0.923870783,1.904474724,2.919913154,1.5112733,4.480561198,0.141626173,0.056844082,0.386101882,0.355054152
16,16,1.09614666,1.619747765,1.619747765,1.432197087,1.859119915,1.859119915,3.825120322,2.32893218,5.507515357,0.274334168,0.15207861,0.105221478,0.062780687
17,17,0.073484692,1.240085613,1.240085613,0.540655453,1.384019588,1.384019588,1.543212327,0.96045511,2.207818538,0.943854474,0.588723576,0.214857092,0.165932935
18,18,0.275567596,1.644242097,1.644242097,0.982126567,2.031655371,2.031655371,2.779469575,2.101780523,5.092196141,0.785223403,0.326026422,0.100062815,0.042012697
19,19,0.783836718,2.109634413,2.109634413,1.374534197,2.325012151,2.325012151,5.064957356,3.010040752,7.295025761,0.434914648,0.169268727,0.034857751,0.019985538
20,20,1.840179169,1.49115252,1.840179169,2.373933075,1.507142935,2.373933075,5.609795212,2.828869601,7.90703807,0.066180511,0.017598523,0.135851771,0.13148553
21,21,2.948573278,1.993286334,2.948573278,3.427367156,2.216631052,3.427367156,12.66727478,6.803768797,16.66029884,0.003222846,0.000609385,0.04619127,0.026539919
22,22,2.813851342,1.723848678,2.813851342,3.085673243,1.764969503,3.085673243,10.88941364,5.516438361,12.63649671,0.00494009,0.002030622,0.084679748,0.077351611
23,23,2.755675961,1.607500599,2.755675961,3.035833924,1.669981991,3.035833924,10.17780817,5.191294926,12.00512747,0.005909924,0.002398367,0.107881359,0.094669921
24,24,2.709748028,1.515646852,2.709748028,2.995572778,1.590108772,2.995572778,9.639919756,4.93559014,11.50190217,0.006793381,0.002738911,0.129540405,0.111544464
25,25,2.103499317,0.303177399,2.103499317,2.333969768,0.432493526,2.333969768,4.51662591,2.305880013,5.634465528,0.035682161,0.019595602,0.761713532,0.665071492
